codigo,nombre,Saldo,tipo,vida_util,depreciacion_acumulada
2.1.1.5,Acreedores varios (Corto plazo),47000.00,No es activo fijo,0,0.00
2.1.1.6,Documentos por pagar (Corto plazo),48000.00,No es activo fijo,0,0.00
2.1.2,Préstamos,0.00,No es activo fijo,0,0.00
2.1.2.1,Préstamos bancarios (Con avales) (Corto plazo),49000.00,No es activo fijo,0,0.00
2.1.2.2,Préstamos hipotecarios (Con garantias) (Corto plazo),50000.00,No es activo fijo,0,0.00
2.1.3,Provisiones,0.00,No es activo fijo,0,0.00
2.1.3.1,Provisiones para compensaciones a empleados (Corto plazo),51000.00,No es activo fijo,0,0.00
2.1.3.2,Provisiones para cubrir garantías a clientes (Corto plazo),52000.00,No es activo fijo,0,0.00
2.1.3.3,Provisiones para cubrir reclamos legales (Corto plazo),53000.00,No es activo fijo,0,0.00
2.1.4,Cobros anticipados,0.00,No es activo fijo,0,0.00
2.1.4.1,Rentas cobradas por anticipado (Corto plazo),54000.00,No es activo fijo,0,0.00
2.1.4.2,Intereses cobrados por anticipado (Corto plazo),55000.00,No es activo fijo,0,0.00
2.1.4.3,Servicios cobrados por anticipado (Corto plazo),56000.00,No es activo fijo,0,0.00
2.1.4.4,Suscripciones cobradas por anticipado (Corto plazo),57000.00,No es activo fijo,0,0.00
2.1.4.5,Anticipos a clientes (Corto plazo),58000.00,No es activo fijo,0,0.00
2.2,Pasivo no corriente (Deudas a largo plazo >12 meses),0.00,No es activo fijo,0,0.00
2.2.1,Cuentas y documentos por pagar (Largo plazo),0.00,No es activo fijo,0,0.00
2.2.1.1,Acreedores varios (Largo plazo),59000.00,No es activo fijo,0,0.00
2.2.1.2,Documentos por pagar (Largo plazo),60000.00,No es activo fijo,0,0.00
2.2.2,Préstamos (Largo plazo),0.00,No es activo fijo,0,0.00
2.2.2.1,Préstamos bancarios (Con avales y Largo plazo),61000.00,No es activo fijo,0,0.00
2.2.2.2,Préstamos hipotecarios (Con garantias y Largo plazo),62000.00,No es activo fijo,0,0.00
2.2.3,Provisiones (Largo plazo),0.00,No es activo fijo,0,0.00
2.2.3.1,Provisiones para compensaciones a empleados (Largo plazo),63000.00,No es activo fijo,0,0.00
2.2.3.2,Provisiones para cubrir garantías a clientes (Largo plazo),64000.00,No es activo fijo,0,0.00
2.2.3.3,Provisiones para cubrir reclamos legales (Largo plazo),65000.00,No es activo fijo,0,0.00
2.2.4,Cobros anticipados,0.00,No es activo fijo,0,0.00
2.2.4.1,Rentas cobradas por anticipado (Largo plazo),66000.00,No es activo fijo,0,0.00
2.2.4.2,Intereses cobrados por anticipado (Largo plazo),67000.00,No es activo fijo,0,0.00
2.2.4.3,Servicios cobrados por anticipado (Largo plazo),68000.00,No es activo fijo,0,0.00
3,Patrimonio Neto,0.00,No es activo fijo,0,0.00
3.1,Comerciante individual,0.00,No es activo fijo,0,0.00
3.1.1,Capital,69000.00,No es activo fijo,0,0.00
3.1.2,Resultados acumulados,0.00,No es activo fijo,0,0.00
3.1.2.1,Utilidades o pérdidas de años anteriores,70000.00,No es activo fijo,0,0.00
3.1.2.2,Utilidad o pérdida neta del período,71000.00,No es activo fijo,0,0.00
3.2,Empresa Jurídica,0.00,No es activo fijo,0,0.00
3.2.1,Capital social (Aportación de los socios),72000.00,No es activo fijo,0,0.00
3.2.2,Reservas,0.00,No es activo fijo,0,0.00
3.2.2.1,Reserva legal (Obligatoria 5%),73000.00,No es activo fijo,0,0.00
3.2.2.2,Reservas estatutarias (No son legales. 6%),74000.00,No es activo fijo,0,0.00
3.2.2.3,Reserva voluntaria,75000.00,No es activo fijo,0,0.00
3.2.3,Resultados acumulados,0.00,No es activo fijo,0,0.00
3.2.3.1,Utilidad o pérdida de años anteriores (Años anteriores 2023),76000.00,No es activo fijo,0,0.00
3.2.3.2,Utilidad o pérdida neta del ejercicio (Año 2024),77000.00,No es activo fijo,0,0.00
